"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1636588800000,0.07285,0.07339,0.07108,0.07135,165302.29,11950.33,"direct","",1636588800,"2021-11-11"
1636675200000,0.07277,0.07369,0.07172,0.07285,157676.8,11468.55,"direct","",1636675200,"2021-11-12"
1636761600000,0.07213,0.07305,0.07206,0.07277,90346.64,6549.76,"direct","",1636761600,"2021-11-13"
1636848000000,0.07063,0.07213,0.07061,0.07213,144505.92,10302.45,"direct","",1636848000,"2021-11-14"
1636934400000,0.07173,0.07254,0.07041,0.07063,174724.25,12525.03,"direct","",1636934400,"2021-11-15"
1637020800000,0.07006,0.07189,0.0699,0.07173,229820.49,16250.17,"direct","",1637020800,"2021-11-16"
1637107200000,0.07106,0.07115,0.06945,0.07006,164989.2,11558.92,"direct","",1637107200,"2021-11-17"
1637193600000,0.07025,0.07162,0.0697,0.07106,187388.34,13221.52,"direct","",1637193600,"2021-11-18"
1637280000000,0.07397,0.07428,0.07007,0.07025,232087.5,16831.55,"direct","",1637280000,"2021-11-19"
1637366400000,0.07389,0.07439,0.07304,0.07397,118945.4,8752.56,"direct","",1637366400,"2021-11-20"
1637452800000,0.07269,0.07419,0.07254,0.07389,111807.3,8225.48,"direct","",1637452800,"2021-11-21"
1637539200000,0.07264,0.07348,0.07223,0.07269,165772.29,12068.69,"direct","",1637539200,"2021-11-22"
1637625600000,0.07541,0.07596,0.07246,0.07264,202513.14,15053.42,"direct","",1637625600,"2021-11-23"
1637712000000,0.07473,0.07598,0.07403,0.07541,159990.26,12021.33,"direct","",1637712000,"2021-11-24"
1637798400000,0.07671,0.07683,0.07419,0.07473,178134.23,13460.75,"direct","",1637798400,"2021-11-25"
1637884800000,0.07522,0.07698,0.07318,0.07671,209111.73,15687.58,"direct","",1637884800,"2021-11-26"
1637971200000,0.07482,0.076,0.07464,0.07522,89082.55,6711.42,"direct","",1637971200,"2021-11-27"
1638057600000,0.07501,0.07574,0.07413,0.07482,110069.38,8247.54,"direct","",1638057600,"2021-11-28"
1638144000000,0.07692,0.07695,0.07492,0.07501,129289.59,9794.33,"direct","",1638144000,"2021-11-29"
1638230400000,0.08125,0.08148,0.07688,0.07692,286970.73,22787.39,"direct","",1638230400,"2021-11-30"
1638316800000,0.08015,0.08353,0.07972,0.08125,220633.03,18056.52,"direct","",1638316800,"2021-12-01"
1638403200000,0.07989,0.08087,0.07893,0.08015,155807.39,12467.32,"direct","",1638403200,"2021-12-02"
1638489600000,0.07869,0.08104,0.07755,0.07989,186864.35,14835.46,"direct","",1638489600,"2021-12-03"
1638576000000,0.08374,0.08434,0.07787,0.07869,342859.17,28081.72,"direct","",1638576000,"2021-12-04"
1638662400000,0.08494,0.08573,0.08356,0.08374,176926.21,14992.86,"direct","",1638662400,"2021-12-05"
1638748800000,0.08618,0.08732,0.08289,0.08494,204123.86,17290.49,"direct","",1638748800,"2021-12-06"
1638835200000,0.08512,0.08633,0.08421,0.08618,129135.85,11011.4,"direct","",1638835200,"2021-12-07"
1638921600000,0.0879,0.08799,0.08505,0.08512,152048.59,13177.16,"direct","",1638921600,"2021-12-08"
