"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1636588800000,64801.27,65587.58,64116.52,64890.79,96656.44,6273777099.3,"direct","",1636588800,"2021-11-11"
1636675200000,64124.99,65438.84,62301.13,64801.27,108333.17,6934237666.2,"direct","",1636675200,"2021-11-12"
1636761600000,64380.18,64947.06,63364.92,64124.99,105199.77,6733912010.43,"direct","",1636761600,"2021-11-13"
1636848000000,65501.46,65509.5,63595.03,64380.18,69629.99,4490025349.44,"direct","",1636848000,"2021-11-14"
1636934400000,63602.29,66340.94,63425.12,65501.46,97656.82,6344181781.11,"direct","",1636934400,"2021-11-15"
1637020800000,60062.27,63607.2,58765.62,63602.29,152422.4,9264967357.03,"direct","",1637020800,"2021-11-16"
1637107200000,60352.49,60811.24,58543.5,60062.27,132778.98,7941104670.59,"direct","",1637107200,"2021-11-17"
1637193600000,56900.56,60948.86,56495.96,60352.49,126102.95,7423227189.46,"direct","",1637193600,"2021-11-18"
1637280000000,58047.78,58312.77,55613.71,56900.56,130882.91,7487532692.91,"direct","",1637280000,"2021-11-19"
1637366400000,59694.37,59839.45,57391.23,58047.78,102493.44,6004309222.23,"direct","",1637366400,"2021-11-20"
1637452800000,58606.3,60001.47,58508.46,59694.37,75260.85,4452226889.94,"direct","",1637452800,"2021-11-21"
1637539200000,56257.13,59226.59,55621.52,58606.3,122391.19,7017915468.98,"direct","",1637539200,"2021-11-22"
1637625600000,57539.65,57853.52,55438.47,56257.13,130658.23,7429396987.03,"direct","",1637625600,"2021-11-23"
1637712000000,57143.39,57727.52,55885.97,57539.65,105475.06,5980023095.1,"direct","",1637712000,"2021-11-24"
1637798400000,58931.06,59379.88,57014.62,57143.39,106315.86,6192573118.14,"direct","",1637798400,"2021-11-25"
1637884800000,53722.89,59146.5,53519.31,58931.06,127420.94,7080160902.46,"direct","",1637884800,"2021-11-26"
1637971200000,54757.24,55271.15,53617.27,53722.89,107866.42,5896226891.84,"direct","",1637971200,"2021-11-27"
1638057600000,57271,57427.37,53321.45,54757.24,82769.57,4536120848.68,"direct","",1638057600,"2021-11-28"
1638144000000,57772.16,58848.82,56686.51,57271,109112.4,6290424869.82,"direct","",1638144000,"2021-11-29"
1638230400000,56915.36,59119.6,55907.38,57772.16,115027.68,6598977139.14,"direct","",1638230400,"2021-11-30"
1638316800000,57187.25,59045.48,56466.21,56915.36,111976.83,6429900063.16,"direct","",1638316800,"2021-12-01"
1638403200000,56487.38,57372.1,55856.16,57187.25,94468.57,5350299376.32,"direct","",1638403200,"2021-12-02"
1638489600000,53646.19,57552.02,52150.31,56487.38,140396.42,7761285679.25,"direct","",1638489600,"2021-12-03"
1638576000000,49169.88,53854.34,42748.58,53646.19,203903.11,9854143888.32,"direct","",1638576000,"2021-12-04"
1638662400000,49391.09,49671.39,47757.57,49169.88,125543.08,6156654824.78,"direct","",1638662400,"2021-12-05"
1638748800000,50446.48,50852.59,47185.55,49391.09,129348.01,6305093927.59,"direct","",1638748800,"2021-12-06"
1638835200000,50588.25,51917.57,50045.17,50446.48,123099.23,6275920018.66,"direct","",1638835200,"2021-12-07"
1638921600000,50461.22,51168.58,48648.5,50588.25,93980.91,4714965118.49,"direct","",1638921600,"2021-12-08"
1639008000000,47563.82,50775.3,47329.44,50461.22,103066.35,5050833717.82,"direct","",1639008000,"2021-12-09"
1639094400000,47155.73,49938.52,46934.4,47563.82,127824.15,6178347318.22,"direct","",1639094400,"2021-12-10"
1639180800000,49350.31,49475.35,46818.34,47155.73,99880.1,4830371287.59,"direct","",1639180800,"2021-12-11"
1639267200000,50060.17,50767.61,48658.76,49350.31,70796.24,3512173195.73,"direct","",1639267200,"2021-12-12"
1639353600000,46692.45,50182.34,45842.86,50060.17,134366.47,6418546890.92,"direct","",1639353600,"2021-12-13"
1639440000000,48356.03,48641.71,46304.03,46692.45,127641.01,6022251192.99,"direct","",1639440000,"2021-12-14"
1639526400000,48866.18,49456.44,46562.5,48356.03,149559.65,7205379469.7,"direct","",1639526400,"2021-12-15"
1639612800000,47631.23,49432.17,47530.85,48866.18,94246.95,4576456430.28,"direct","",1639612800,"2021-12-16"
1639699200000,46142.25,47988.17,45499.9,47631.23,143247.45,6708602772.8,"direct","",1639699200,"2021-12-17"
1639785600000,46828.09,47337.71,45520.21,46142.25,110885.74,5161068568.26,"direct","",1639785600,"2021-12-18"
1639872000000,46686.59,48151.96,46431.98,46828.09,103164.76,4875671111.5,"direct","",1639872000,"2021-12-19"
1639958400000,46899.27,47478.31,45571.13,46686.59,132373.25,6141203868.87,"direct","",1639958400,"2021-12-20"
1640044800000,48887.49,49306.53,46654.71,46899.27,107013.9,5177820171.26,"direct","",1640044800,"2021-12-21"
1640131200000,48592.06,49551.09,48428.11,48887.49,82577.01,4044882782.33,"direct","",1640131200,"2021-12-22"
1640217600000,50794.49,51344.88,48037.13,48592.06,97398.36,4798942867.85,"direct","",1640217600,"2021-12-23"
1640304000000,50803.02,51802.96,50459.99,50794.49,91110.76,4651096072.88,"direct","",1640304000,"2021-12-24"
1640390400000,50400.78,51122.39,50182.6,50803.02,63789.06,3239202441.09,"direct","",1640390400,"2021-12-25"
1640476800000,50768.15,51252.98,49496.19,50400.78,66290.7,3324646575.75,"direct","",1640476800,"2021-12-26"
1640563200000,50693.84,52029.93,50446.63,50768.15,83243.74,4253648885.09,"direct","",1640563200,"2021-12-27"
1640649600000,47540.86,50696.11,47331.87,50693.84,121804.98,5950447929.47,"direct","",1640649600,"2021-12-28"
1640736000000,46468.32,48135.5,46122.93,47540.86,108030.35,5122687755.21,"direct","",1640736000,"2021-12-29"
1640822400000,47128.56,47898.56,45964,46468.32,90748.42,4272707707.42,"direct","",1640822400,"2021-12-30"
1640908800000,46208.95,48546.15,45683.59,47128.56,116203.07,5493620081.93,"direct","",1640908800,"2021-12-31"
1640995200000,47723.81,47926.39,46203.08,46208.95,78062.4,3682718591.85,"direct","",1640995200,"2022-01-01"
1641081600000,47294.06,47939.54,46688.62,47723.81,68111.56,3218812024.4,"direct","",1641081600,"2022-01-02"
1641168000000,46439.44,47560.94,45725.83,47294.06,90731.23,4241451689.24,"direct","",1641168000,"2022-01-03"
1641254400000,45836.58,47531.71,45598.72,46439.44,111589.86,5184734824.01,"direct","",1641254400,"2022-01-04"
1641340800000,43436.89,47046.03,42503.95,45836.58,143862.63,6518583189.66,"direct","",1641340800,"2022-01-05"
1641427200000,43077.43,43783.28,42462,43436.89,87610.04,3772492564.16,"direct","",1641427200,"2022-01-06"
1641513600000,41558.04,43121.88,40684.06,43077.43,111602.65,4666176314.41,"direct","",1641513600,"2022-01-07"
1641600000000,41681.89,42293.16,40545.33,41558.04,115265.43,4798430259.07,"direct","",1641600000,"2022-01-08"
1641686400000,41855.2,42771.5,41248.34,41681.89,63754.49,2670969535.61,"direct","",1641686400,"2022-01-09"
1641772800000,41817.73,42237.36,39678.91,41855.2,125821.05,5191917317.28,"direct","",1641772800,"2022-01-10"
1641859200000,42721.38,43087.06,41274.96,41817.73,100972.69,4260485039.62,"direct","",1641859200,"2022-01-11"
1641945600000,43903.01,44264.65,42459.49,42721.38,90860.7,3932435418.66,"direct","",1641945600,"2022-01-12"
1642032000000,42570.38,44406.56,42322.75,43903.01,87198.66,3788053789.21,"direct","",1642032000,"2022-01-13"
