"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1636588800000,0.2606,0.2714,0.2531,0.2554,2180147265.61,570230535.43,"direct","",1636588800,"2021-11-11"
1636675200000,0.2595,0.2686,0.2491,0.2606,2233075530.17,575706605.36,"direct","",1636675200,"2021-11-12"
1636761600000,0.2613,0.2623,0.2543,0.2595,1322771388.71,341830716.46,"direct","",1636761600,"2021-11-13"
1636848000000,0.2628,0.2717,0.2601,0.2613,1901066328.27,500668165.67,"direct","",1636848000,"2021-11-14"
1636934400000,0.2567,0.2652,0.2556,0.2628,1455183475.14,379387963.32,"direct","",1636934400,"2021-11-15"
1637020800000,0.2367,0.2568,0.2245,0.2567,3055318435.72,736765815.65,"direct","",1637020800,"2021-11-16"
1637107200000,0.2375,0.2409,0.2298,0.2367,2005821277.87,473193271.48,"direct","",1637107200,"2021-11-17"
1637193600000,0.2212,0.2413,0.2152,0.2375,2333638394.67,532648952.09,"direct","",1637193600,"2021-11-18"
1637280000000,0.233,0.237,0.2161,0.2212,2044273183.58,464549375.88,"direct","",1637280000,"2021-11-19"
1637366400000,0.2331,0.2358,0.2254,0.233,1124570425.65,260003703.12,"direct","",1637366400,"2021-11-20"
1637452800000,0.2257,0.2335,0.2254,0.2331,1088041574.32,249066591.61,"direct","",1637452800,"2021-11-21"
1637539200000,0.2196,0.2268,0.2167,0.2257,1396516351.01,309628931.3,"direct","",1637539200,"2021-11-22"
1637625600000,0.2268,0.2366,0.2141,0.2196,2893082036.9,655330074.11,"direct","",1637625600,"2021-11-23"
1637712000000,0.2172,0.2305,0.2117,0.2268,2111557156.07,461570971.51,"direct","",1637712000,"2021-11-24"
1637798400000,0.2211,0.2289,0.2143,0.2172,1851530240.73,408053559.1,"direct","",1637798400,"2021-11-25"
1637884800000,0.2022,0.2218,0.1896,0.2211,3302887445.54,674593294.9,"direct","",1637884800,"2021-11-26"
1637971200000,0.205,0.2098,0.2015,0.2022,1645868522.93,339527097.01,"direct","",1637971200,"2021-11-27"
1638057600000,0.2075,0.2076,0.1916,0.205,1674143814.72,334385670.45,"direct","",1638057600,"2021-11-28"
1638144000000,0.215,0.2247,0.2029,0.2075,3409115043.14,732105385.66,"direct","",1638144000,"2021-11-29"
1638230400000,0.2145,0.2274,0.2128,0.215,3021755238.62,663526989.58,"direct","",1638230400,"2021-11-30"
1638316800000,0.2092,0.2188,0.2059,0.2145,1465612541.9,312450956.6,"direct","",1638316800,"2021-12-01"
1638403200000,0.2094,0.2231,0.2018,0.2092,3330248167.36,711242313.24,"direct","",1638403200,"2021-12-02"
1638489600000,0.1998,0.2118,0.195,0.2094,2101099126.64,427265021.83,"direct","",1638489600,"2021-12-03"
1638576000000,0.1783,0.2003,0.1342,0.1998,7581235520.35,1263561790.67,"direct","",1638576000,"2021-12-04"
1638662400000,0.1714,0.181,0.1625,0.1783,3130177805.3,539491254.34,"direct","",1638662400,"2021-12-05"
1638748800000,0.178,0.1802,0.1593,0.1714,3530178431.06,597670310.94,"direct","",1638748800,"2021-12-06"
1638835200000,0.1764,0.1841,0.1749,0.178,2312867527.07,414883536.45,"direct","",1638835200,"2021-12-07"
1638921600000,0.1791,0.1821,0.1723,0.1764,1843426863.28,327711867.7,"direct","",1638921600,"2021-12-08"
1639008000000,0.1693,0.1825,0.169,0.1791,2070126769.84,363658011.89,"direct","",1639008000,"2021-12-09"
1639094400000,0.164,0.1742,0.1637,0.1693,1644014529.42,277934455.94,"direct","",1639094400,"2021-12-10"
1639180800000,0.1688,0.1699,0.1618,0.164,1410384952.92,235020870.75,"direct","",1639180800,"2021-12-11"
1639267200000,0.1696,0.1734,0.1657,0.1688,1127187737.81,190711034.29,"direct","",1639267200,"2021-12-12"
1639353600000,0.1573,0.1704,0.1523,0.1696,2162949906.29,346358181.67,"direct","",1639353600,"2021-12-13"
1639440000000,0.191,0.2197,0.1551,0.1573,10498770387.66,2013817558.37,"direct","",1639440000,"2021-12-14"
1639526400000,0.181,0.1912,0.171,0.191,4804838663.92,864113773.78,"direct","",1639526400,"2021-12-15"
1639612800000,0.1733,0.1853,0.1725,0.181,1714402625.82,307203691.18,"direct","",1639612800,"2021-12-16"
1639699200000,0.1687,0.1767,0.1625,0.1733,2214686262.3,375910786.39,"direct","",1639699200,"2021-12-17"
1639785600000,0.1725,0.1756,0.1661,0.1687,1368970291,234988037.96,"direct","",1639785600,"2021-12-18"
1639872000000,0.1695,0.1748,0.1692,0.1725,1102053055.97,189323952.83,"direct","",1639872000,"2021-12-19"
1639958400000,0.1672,0.1708,0.1613,0.1695,1980722612.36,328087958.82,"direct","",1639958400,"2021-12-20"
1640044800000,0.1709,0.1723,0.1658,0.1672,1184663076.3,201322496.64,"direct","",1640044800,"2021-12-21"
1640131200000,0.1731,0.1799,0.1699,0.1709,1990481137.61,347094706.9,"direct","",1640131200,"2021-12-22"
1640217600000,0.1849,0.1849,0.1715,0.1731,2320607998.08,414258152.9,"direct","",1640217600,"2021-12-23"
1640304000000,0.1863,0.1953,0.1794,0.1849,2919965626.39,545951761.7,"direct","",1640304000,"2021-12-24"
1640390400000,0.1908,0.1949,0.1849,0.1863,2072798888.61,394170455.86,"direct","",1640390400,"2021-12-25"
1640476800000,0.1898,0.1925,0.1853,0.1908,1223473706.47,231108174.14,"direct","",1640476800,"2021-12-26"
1640563200000,0.1879,0.1928,0.1869,0.1898,1247748712.25,237518158.31,"direct","",1640563200,"2021-12-27"
1640649600000,0.1739,0.188,0.1719,0.1879,1890524326.09,338644644.65,"direct","",1640649600,"2021-12-28"
1640736000000,0.1681,0.1773,0.1667,0.1739,1739306040.43,299459670.85,"direct","",1640736000,"2021-12-29"
1640822400000,0.1712,0.1758,0.1653,0.1681,1232620539.94,211558683.99,"direct","",1640822400,"2021-12-30"
1640908800000,0.1704,0.1757,0.1663,0.1712,1393058671.88,239299616.56,"direct","",1640908800,"2021-12-31"
1640995200000,0.1732,0.1737,0.1698,0.1704,707427931.65,121626451.52,"direct","",1640995200,"2022-01-01"
1641081600000,0.1745,0.1763,0.1707,0.1732,726442622.86,125966420.25,"direct","",1641081600,"2022-01-02"
1641168000000,0.1702,0.1745,0.1676,0.1745,1013341703.47,173251309.67,"direct","",1641168000,"2022-01-03"
1641254400000,0.1685,0.1726,0.1669,0.1702,1116703719.9,189933964.2,"direct","",1641254400,"2022-01-04"
1641340800000,0.1591,0.1711,0.1479,0.1685,2089079797.88,339872063.76,"direct","",1641340800,"2022-01-05"
1641427200000,0.1604,0.1622,0.1541,0.1591,1186948557.1,186689128.81,"direct","",1641427200,"2022-01-06"
1641513600000,0.1551,0.1605,0.1497,0.1604,1445663639.24,222513665.76,"direct","",1641513600,"2022-01-07"
1641600000000,0.151,0.1579,0.1462,0.1551,1451702702.74,221148240.74,"direct","",1641600000,"2022-01-08"
1641686400000,0.1505,0.1539,0.1487,0.151,791222150.79,119855697.36,"direct","",1641686400,"2022-01-09"
1641772800000,0.1431,0.1522,0.1381,0.1505,1706808608.98,246598789.3,"direct","",1641772800,"2022-01-10"
1641859200000,0.1537,0.1668,0.1418,0.1431,4010945793.28,618722430.08,"direct","",1641859200,"2022-01-11"
1641945600000,0.1628,0.1636,0.1512,0.1537,2082974483.35,327767382.94,"direct","",1641945600,"2022-01-12"
1642032000000,0.1717,0.1767,0.1614,0.1628,5231924792.29,884641481.97,"direct","",1642032000,"2022-01-13"
1642118400000,0.1832,0.2077,0.1706,0.1717,12531214706.06,2395162903.97,"direct","",1642118400,"2022-01-14"
1642204800000,0.1845,0.1946,0.1817,0.1832,4158548716.54,784377630.18,"direct","",1642204800,"2022-01-15"
1642291200000,0.1766,0.1847,0.1736,0.1845,2554898039.5,457991693.44,"direct","",1642291200,"2022-01-16"
1642377600000,0.1709,0.1781,0.1657,0.1766,2663166952.05,453469839.51,"direct","",1642377600,"2022-01-17"
1642464000000,0.165,0.1742,0.1617,0.1709,2332730941.45,388164098.03,"direct","",1642464000,"2022-01-18"
1642550400000,0.1616,0.1695,0.1592,0.165,2264789043.72,370935379.88,"direct","",1642550400,"2022-01-19"
1642636800000,0.1553,0.1692,0.1542,0.1616,1973703940.56,320322916.91,"direct","",1642636800,"2022-01-20"
1642723200000,0.142,0.1575,0.14,0.1553,2820629051.57,422031429.38,"direct","",1642723200,"2022-01-21"
1642809600000,0.1332,0.1452,0.1204,0.142,4223254092.24,556039712.02,"direct","",1642809600,"2022-01-22"
1642896000000,0.1416,0.1444,0.1322,0.1332,3252834072.77,450673844.01,"direct","",1642896000,"2022-01-23"
1642982400000,0.1373,0.1417,0.1261,0.1416,3491727426.28,464365216.09,"direct","",1642982400,"2022-01-24"
1643068800000,0.1427,0.1486,0.1326,0.1373,3250553236.61,458383314.86,"direct","",1643068800,"2022-01-25"
1643155200000,0.1432,0.1522,0.1411,0.1427,3132953504.36,461830344.98,"direct","",1643155200,"2022-01-26"
1643241600000,0.1415,0.1457,0.1363,0.1432,1597319052.69,225363369.15,"direct","",1643241600,"2022-01-27"
1643328000000,0.1415,0.1426,0.1379,0.1415,1313806355.77,184316816.82,"direct","",1643328000,"2022-01-28"
1643414400000,0.1429,0.1441,0.1407,0.1415,894776873.68,127581969.05,"direct","",1643414400,"2022-01-29"
1643500800000,0.1392,0.1438,0.1382,0.1429,879976390.05,124312535.35,"direct","",1643500800,"2022-01-30"
1643587200000,0.1416,0.1425,0.1365,0.1392,1024560912.79,142759505.45,"direct","",1643587200,"2022-01-31"
1643673600000,0.1423,0.1441,0.1409,0.1416,964412190.1,137451688.49,"direct","",1643673600,"2022-02-01"
1643760000000,0.137,0.1463,0.1362,0.1423,1206453020.97,170311469.95,"direct","",1643760000,"2022-02-02"
1643846400000,0.138,0.1389,0.1348,0.137,985352433.39,134791544.49,"direct","",1643846400,"2022-02-03"
1643932800000,0.1478,0.1479,0.137,0.138,1363450110.73,193024756.77,"direct","",1643932800,"2022-02-04"
1644019200000,0.1469,0.1506,0.1451,0.1478,1334392244.13,197811033.02,"direct","",1644019200,"2022-02-05"
1644105600000,0.154,0.1557,0.1449,0.1469,1656961631.17,248915971.98,"direct","",1644105600,"2022-02-06"
1644192000000,0.1651,0.1729,0.1514,0.154,3856781291.01,624124918.48,"direct","",1644192000,"2022-02-07"
1644278400000,0.1581,0.1696,0.153,0.1651,2400063773.84,385834157.48,"direct","",1644278400,"2022-02-08"
1644364800000,0.1593,0.1623,0.1543,0.1581,1435940383.08,227210514.1,"direct","",1644364800,"2022-02-09"
1644451200000,0.1514,0.1606,0.1503,0.1593,1837857759.44,286578826.82,"direct","",1644451200,"2022-02-10"
1644537600000,0.1448,0.1554,0.1422,0.1514,1614354848.28,241411326.07,"direct","",1644537600,"2022-02-11"
1644624000000,0.1444,0.1474,0.1409,0.1448,1331149953.62,191094088.25,"direct","",1644624000,"2022-02-12"
1644710400000,0.1481,0.1579,0.1438,0.1444,3265289478.41,496623567.28,"direct","",1644710400,"2022-02-13"
1644796800000,0.1458,0.1505,0.1428,0.1481,1836487405.5,267866405.74,"direct","",1644796800,"2022-02-14"
1644883200000,0.1517,0.1524,0.1449,0.1458,1271128456.3,189879506.89,"direct","",1644883200,"2022-02-15"
1644969600000,0.1487,0.1517,0.1463,0.1517,936447307.73,139474366.5,"direct","",1644969600,"2022-02-16"
1645056000000,0.1384,0.15,0.1372,0.1487,1583634452.23,227376344.71,"direct","",1645056000,"2022-02-17"
1645142400000,0.1387,0.1422,0.1362,0.1384,1214959092.97,169373772.94,"direct","",1645142400,"2022-02-18"
1645228800000,0.1409,0.1465,0.1385,0.1387,1387935042.55,197200462.44,"direct","",1645228800,"2022-02-19"
1645315200000,0.1367,0.1411,0.1355,0.1409,1081326556.1,148419415.64,"direct","",1645315200,"2022-02-20"
1645401600000,0.1284,0.1418,0.1275,0.1367,2298402332.77,311539150.44,"direct","",1645401600,"2022-02-21"
1645488000000,0.1314,0.1319,0.1246,0.1284,1673314504.73,214874259.13,"direct","",1645488000,"2022-02-22"
1645574400000,0.1275,0.1356,0.1274,0.1314,1378165018.89,181805111.96,"direct","",1645574400,"2022-02-23"
1645660800000,0.1241,0.1279,0.1069,0.1275,4547743312.72,531500993.01,"direct","",1645660800,"2022-02-24"
