类别：所有类别

国家/地区,bitcoin: (2021/11/10 - 2024/11/10)
萨尔瓦多,100
尼日利亚,64
列支敦士登,
不丹,
瑞士,43
荷兰,42
斯洛文尼亚,41
荷属加勒比区,
奥地利,38
开曼群岛,
库拉索,
德国,31
百慕大,
法罗群岛,
卢森堡,
纳米比亚,
安道尔,
巴西,28
科索沃,
塞浦路斯,28
圣赫勒拿,
法属圣马丁,
荷属圣马丁,
新加坡,26
加拿大,26
捷克,26
土耳其,26
直布罗陀,
比利时,24
泽西岛,
冰岛,
喀麦隆,
爱沙尼亚,
贝宁,
阿鲁巴,
澳大利亚,22
马恩岛,
加纳,21
西班牙,21
马耳他,
斯洛伐克,21
爱尔兰,20
阿尔巴尼亚,
北马其顿,
芬兰,19
马达加斯加,
葡萄牙,18
圣基茨和尼维斯,
阿拉伯联合酋长国,18
新西兰,18
克罗地亚,18
关岛,
法属波利尼西亚,
瑞典,18
斯瓦尔巴和扬马延,
挪威,17
奥兰群岛,
英国,17
巴哈马,
福克兰群岛（马尔维纳斯群岛）,
博茨瓦纳,
特克斯和凯科斯群岛,
南非,16
英属维尔京群岛,
根西岛,
安提瓜和巴布达,
美国,16
巴巴多斯,
肯尼亚,15
马尔代夫,
波兰,15
埃塞俄比亚,
多哥,
黎巴嫩,
巴布亚新几内亚,
布隆迪,
意大利,14
香港,14
斯威士兰,
保加利亚,13
厄立特里亚,
罗马尼亚,13
巴基斯坦,13
中非共和国,
科特迪瓦,
安圭拉,
塞舌尔,
立陶宛,13
拉脱维亚,
基里巴斯,
新喀里多尼亚,
苏里南,
毛里求斯,
圣马力诺,
佛得角,
阿根廷,12
美属维尔京群岛,
索马里,
特立尼达和多巴哥,
法国,12
格鲁吉亚,
以色列,12
巴林,
哥斯达黎加,
巴拿马,
丹麦,11
哥伦比亚,11
伯利兹,
亚美尼亚,
北马里亚纳群岛,
希腊,11
马来西亚,11
委内瑞拉,11
马绍尔群岛,
中国,
匈牙利,10
波斯尼亚和黑塞哥维那,
津巴布韦,
格林纳达,
布基纳法索,
卢旺达,
圣卢西亚,
格陵兰,
牙买加,
卡塔尔,
圣文森特和格林纳丁斯,
巴拉圭,
库克群岛,
圣皮埃尔和密克隆群岛,
乌拉圭,
蒙古,
莱索托,
柬埔寨,
塞尔维亚,9
帕劳,
黑山,
澳门,
冈比亚,
阿富汗,
多米尼加共和国,9
尼泊尔,
文莱,
多米尼克,
蒙特塞拉特,
法属圭亚那,
留尼汪,
瓦努阿图,
斯里兰卡,
老挝,
古巴,
瓜德罗普,
斐济,
赤道几内亚,
所罗门群岛,
越南,8
印度,8
坦桑尼亚,
摩洛哥,8
土库曼斯坦,
阿塞拜疆,
摩尔多瓦,
突尼斯,
安哥拉,
几内亚比绍,
尼日尔,
马提尼克,
洪都拉斯,
智利,7
圭亚那,
乌干达,
波多黎各,
赞比亚,
吉布提,
泰国,7
墨西哥,7
圣多美和普林西比,
科威特,
缅甸,
南苏丹,
菲律宾,7
刚果（布）,
利比里亚,
秘鲁,6
塞内加尔,
美属萨摩亚,
圣巴泰勒米,
危地马拉,
马拉维,
西撒哈拉,
塞拉利昂,
厄瓜多尔,5
乌兹别克斯坦,
几内亚,
海地,
加蓬,
玻利维亚,
莫桑比克,
尼加拉瓜,
约旦,
印度尼西亚,5
阿曼,
毛里塔尼亚,
孟加拉国,5
萨摩亚,
马里,
密克罗尼西亚,
汤加,
马约特,
韩国,4
巴勒斯坦,
乍得,
阿尔及利亚,
刚果（金）,
沙特阿拉伯,3
俄罗斯,3
科摩罗,
伊拉克,
伊朗,2
乌克兰,2
叙利亚,
埃及,2
塔吉克斯坦,
苏丹,
利比亚,
吉尔吉斯斯坦,
东帝汶,
哈萨克斯坦,
白俄罗斯,
台湾,1
也门,
日本,<1
科科斯（基林）群岛,
美国本土外小岛屿,
布韦岛,
纽埃,
圣诞岛,
梵蒂冈,
托克劳,
赫德岛和麦克唐纳群岛,
瑙鲁,
摩纳哥,
诺福克岛,
法属南部领地,
瓦利斯和富图纳,
朝鲜,
南极洲,
图瓦卢,
皮特凯恩群岛,
南乔治亚和南桑威奇群岛,
英属印度洋领地,
