类别：所有类别

国家/地区,Bitcoin: (2021/11/10 - 2024/11/10)
萨尔瓦多,100
尼日利亚,68
列支敦士登,
不丹,
瑞士,45
荷兰,44
斯洛文尼亚,41
荷属加勒比区,
奥地利,38
库拉索,
开曼群岛,
德国,32
百慕大,
纳米比亚,
法罗群岛,
卢森堡,
塞浦路斯,29
科索沃,
巴西,29
法属圣马丁,
圣赫勒拿,
新加坡,28
安道尔,
捷克,28
荷属圣马丁,
土耳其,27
加拿大,27
直布罗陀,
比利时,26
泽西岛,
贝宁,
阿鲁巴,
冰岛,
爱沙尼亚,
澳大利亚,23
西班牙,23
加纳,22
马恩岛,
喀麦隆,
马耳他,
斯洛伐克,21
爱尔兰,21
马达加斯加,
芬兰,20
葡萄牙,20
克罗地亚,19
阿尔巴尼亚,
北马其顿,
斯瓦尔巴和扬马延,
圣基茨和尼维斯,
瑞典,19
新西兰,19
阿拉伯联合酋长国,19
法属波利尼西亚,
关岛,
挪威,18
奥兰群岛,
博茨瓦纳,
英国,18
南非,17
特克斯和凯科斯群岛,
巴哈马,
美国,17
根西岛,
英属维尔京群岛,
安提瓜和巴布达,
巴布亚新几内亚,
马尔代夫,
多哥,
安圭拉,
波兰,16
巴巴多斯,
肯尼亚,15
埃塞俄比亚,
厄立特里亚,
黎巴嫩,
福克兰群岛（马尔维纳斯群岛）,
布隆迪,
斯威士兰,
中非共和国,
意大利,14
香港,14
科特迪瓦,
保加利亚,14
巴基斯坦,14
罗马尼亚,14
塞舌尔,
立陶宛,14
拉脱维亚,
新喀里多尼亚,
毛里求斯,
圣马力诺,
佛得角,
索马里,
苏里南,
特立尼达和多巴哥,
阿根廷,12
巴林,
美属维尔京群岛,
格鲁吉亚,
以色列,12
丹麦,12
法国,12
委内瑞拉,12
哥斯达黎加,
巴拿马,
伯利兹,
马来西亚,11
亚美尼亚,
哥伦比亚,11
中国,
格林纳达,
北马里亚纳群岛,
希腊,11
匈牙利,11
波斯尼亚和黑塞哥维那,
巴拉圭,
格陵兰,
圣卢西亚,
津巴布韦,
卡塔尔,
基里巴斯,
乌拉圭,
布基纳法索,
库克群岛,
蒙古,
黑山,
卢旺达,
塞尔维亚,10
牙买加,
帕劳,
马绍尔群岛,
圣文森特和格林纳丁斯,
阿富汗,
莱索托,
柬埔寨,
澳门,
冈比亚,
多米尼克,
法属圭亚那,
多米尼加共和国,9
古巴,
文莱,
所罗门群岛,
尼泊尔,
瓜德罗普,
留尼汪,
赤道几内亚,
瓦努阿图,
斯里兰卡,
斐济,
老挝,
摩尔多瓦,
越南,8
坦桑尼亚,
印度,8
阿塞拜疆,
摩洛哥,8
马提尼克,
墨西哥,8
突尼斯,
几内亚比绍,
尼日尔,
圭亚那,
土库曼斯坦,
洪都拉斯,
智利,7
安哥拉,
乌干达,
波多黎各,
泰国,7
吉布提,
科威特,
南苏丹,
缅甸,
刚果（布）,
秘鲁,7
利比里亚,
赞比亚,
美属萨摩亚,
圣巴泰勒米,
圣多美和普林西比,
菲律宾,6
危地马拉,
塞内加尔,
马拉维,
西撒哈拉,
塞拉利昂,
莫桑比克,
厄瓜多尔,6
加蓬,
玻利维亚,
乌兹别克斯坦,
几内亚,
海地,
约旦,
尼加拉瓜,
印度尼西亚,5
阿曼,
毛里塔尼亚,
孟加拉国,5
马里,
萨摩亚,
密克罗尼西亚,
汤加,
韩国,4
乍得,
马约特,
巴勒斯坦,
阿尔及利亚,
科摩罗,
沙特阿拉伯,3
刚果（金）,
俄罗斯,3
伊拉克,
伊朗,2
乌克兰,2
叙利亚,
埃及,2
塔吉克斯坦,
利比亚,
吉尔吉斯斯坦,
苏丹,
东帝汶,
哈萨克斯坦,
白俄罗斯,
台湾,2
也门,
日本,<1
梵蒂冈,
圣诞岛,
瑙鲁,
美国本土外小岛屿,
布韦岛,
摩纳哥,
纽埃,
图瓦卢,
科科斯（基林）群岛,
朝鲜,
圣皮埃尔和密克隆群岛,
诺福克岛,
英属印度洋领地,
法属南部领地,
瓦利斯和富图纳,
赫德岛和麦克唐纳群岛,
南极洲,
托克劳,
南乔治亚和南桑威奇群岛,
蒙特塞拉特,
皮特凯恩群岛,
