类别：所有类别

国家/地区,Ethereum: (2021/11/10 - 2024/11/10)
科索沃,
荷属圣马丁,
列支敦士登,
北马其顿,100
瑞士,96
直布罗陀,
新加坡,89
斯洛文尼亚,86
奥地利,83
德国,72
圣赫勒拿,
百慕大,
开曼群岛,
法属圣马丁,
加拿大,66
荷兰,65
卢森堡,
安道尔,
爱沙尼亚,62
塞浦路斯,61
马耳他,
尼日利亚,58
土耳其,56
塞尔维亚,54
澳大利亚,53
关岛,
比利时,49
瑞典,48
圣马力诺,
库拉索,
黎巴嫩,47
阿鲁巴,
爱尔兰,45
法罗群岛,
文莱,
芬兰,45
捷克,44
波兰,43
新西兰,42
阿拉伯联合酋长国,42
特克斯和凯科斯群岛,
斯威士兰,
葡萄牙,41
泽西岛,
新喀里多尼亚,
黑山,
马恩岛,
荷属加勒比区,
阿尔巴尼亚,
不丹,
中国,
英国,38
圣基茨和尼维斯,
巴西,37
挪威,37
巴基斯坦,37
克罗地亚,36
巴林,
西班牙,35
阿根廷,34
保加利亚,34
斯洛伐克,34
美国,32
巴哈马,
法国,32
法属波利尼西亚,
格鲁吉亚,
拉脱维亚,
安提瓜和巴布达,
毛里求斯,
苏里南,
冰岛,
纳米比亚,
以色列,30
马尔代夫,
匈牙利,29
立陶宛,29
希腊,28
南非,27
波斯尼亚和黑塞哥维那,
奥兰群岛,
马来西亚,27
贝宁,
根西岛,
马达加斯加,
塞舌尔,
罗马尼亚,25
意大利,25
丹麦,25
亚美尼亚,
巴巴多斯,
肯尼亚,23
马提尼克,
香港,22
西撒哈拉,
留尼汪,
布隆迪,
博茨瓦纳,
伯利兹,
卡塔尔,
蒙古,
法属圭亚那,
索马里,
多哥,
埃塞俄比亚,
乌拉圭,
美属维尔京群岛,
北马里亚纳群岛,
摩洛哥,19
土库曼斯坦,
圣卢西亚,
佛得角,
老挝,
喀麦隆,
特立尼达和多巴哥,
委内瑞拉,17
汤加,
哥伦比亚,17
摩尔多瓦,
哥斯达黎加,
英属维尔京群岛,
斯里兰卡,
瓜德罗普,
柬埔寨,
圣巴泰勒米,
加纳,
卢旺达,
牙买加,
印度,15
菲律宾,15
突尼斯,
古巴,
澳门,
巴拿马,
布基纳法索,
格林纳达,
津巴布韦,
多米尼克,
莱索托,
科威特,
科特迪瓦,
智利,13
波多黎各,
尼泊尔,
多米尼加共和国,
格陵兰,
瓦努阿图,
约旦,
阿富汗,
阿曼,
马约特,
乌干达,
韩国,12
秘鲁,12
巴拉圭,
坦桑尼亚,
巴布亚新几内亚,
缅甸,
阿塞拜疆,
萨尔瓦多,
泰国,11
墨西哥,11
冈比亚,
孟加拉国,10
乌克兰,10
吉布提,
南苏丹,
尼日尔,
圭亚那,
俄罗斯,8
斐济,
印度尼西亚,8
厄瓜多尔,
圣文森特和格林纳丁斯,
巴勒斯坦,
毛里塔尼亚,
苏丹,
玻利维亚,
塞内加尔,
莫桑比克,
加蓬,
海地,
安哥拉,
乌兹别克斯坦,
赤道几内亚,
危地马拉,
利比里亚,
洪都拉斯,
叙利亚,
沙特阿拉伯,6
越南,6
阿尔及利亚,
哈萨克斯坦,
赞比亚,
几内亚比绍,
埃及,6
伊朗,6
马拉维,
马里,
刚果（布）,
白俄罗斯,
吉尔吉斯斯坦,
伊拉克,
几内亚,
塞拉利昂,
塔吉克斯坦,
尼加拉瓜,
刚果（金）,
台湾,4
利比亚,
乍得,
也门,
东帝汶,
日本,1
福克兰群岛（马尔维纳斯群岛）,
安圭拉,
赫德岛和麦克唐纳群岛,
库克群岛,
朝鲜,
圣诞岛,
托克劳,
帕劳,
南乔治亚和南桑威奇群岛,
斯瓦尔巴和扬马延,
科科斯（基林）群岛,
中非共和国,
布韦岛,
图瓦卢,
所罗门群岛,
英属印度洋领地,
皮特凯恩群岛,
密克罗尼西亚,
美国本土外小岛屿,
瑙鲁,
基里巴斯,
纽埃,
梵蒂冈,
厄立特里亚,
诺福克岛,
圣皮埃尔和密克隆群岛,
法属南部领地,
摩纳哥,
南极洲,
瓦利斯和富图纳,
萨摩亚,
美属萨摩亚,
圣多美和普林西比,
马绍尔群岛,
蒙特塞拉特,
科摩罗,
