类别：所有类别

周,dogecoin: (全球)
2021-11-07,72
2021-11-14,59
2021-11-21,51
2021-11-28,54
2021-12-05,50
2021-12-12,82
2021-12-19,53
2021-12-26,53
2022-01-02,59
2022-01-09,88
2022-01-16,66
2022-01-23,71
2022-01-30,50
2022-02-06,48
2022-02-13,43
2022-02-20,39
2022-02-27,37
2022-03-06,31
2022-03-13,30
2022-03-20,34
2022-03-27,37
2022-04-03,42
2022-04-10,38
2022-04-17,31
2022-04-24,56
2022-05-01,33
2022-05-08,53
2022-05-15,35
2022-05-22,30
2022-05-29,27
2022-06-05,21
2022-06-12,46
2022-06-19,42
2022-06-26,29
2022-07-03,23
2022-07-10,20
2022-07-17,23
2022-07-24,20
2022-07-31,18
2022-08-07,20
2022-08-14,27
2022-08-21,17
2022-08-28,24
2022-09-04,17
2022-09-11,17
2022-09-18,18
2022-09-25,15
2022-10-02,16
2022-10-09,14
2022-10-16,14
2022-10-23,46
2022-10-30,81
2022-11-06,45
2022-11-13,34
2022-11-20,27
2022-11-27,33
2022-12-04,27
2022-12-11,24
2022-12-18,24
2022-12-25,26
2023-01-01,23
2023-01-08,23
2023-01-15,21
2023-01-22,21
2023-01-29,25
2023-02-05,19
2023-02-12,23
2023-02-19,18
2023-02-26,15
2023-03-05,16
2023-03-12,17
2023-03-19,18
2023-03-26,15
2023-04-02,82
2023-04-09,28
2023-04-16,25
2023-04-23,19
2023-04-30,16
2023-05-07,14
2023-05-14,14
2023-05-21,13
2023-05-28,13
2023-06-04,14
2023-06-11,12
2023-06-18,13
2023-06-25,12
2023-07-02,13
2023-07-09,13
2023-07-16,15
2023-07-23,22
2023-07-30,16
2023-08-06,14
2023-08-13,14
2023-08-20,13
2023-08-27,12
2023-09-03,11
2023-09-10,9
2023-09-17,9
2023-09-24,9
2023-10-01,8
2023-10-08,8
2023-10-15,10
2023-10-22,15
2023-10-29,13
2023-11-05,17
2023-11-12,17
2023-11-19,16
2023-11-26,15
2023-12-03,30
2023-12-10,21
2023-12-17,17
2023-12-24,16
2023-12-31,16
2024-01-07,17
2024-01-14,14
2024-01-21,16
2024-01-28,11
2024-02-04,10
2024-02-11,15
2024-02-18,14
2024-02-25,41
2024-03-03,72
2024-03-10,45
2024-03-17,34
2024-03-24,48
2024-03-31,34
2024-04-07,31
2024-04-14,27
2024-04-21,20
2024-04-28,21
2024-05-05,20
2024-05-12,18
2024-05-19,25
2024-05-26,18
2024-06-02,16
2024-06-09,15
2024-06-16,13
2024-06-23,11
2024-06-30,12
2024-07-07,11
2024-07-14,21
2024-07-21,15
2024-07-28,13
2024-08-04,16
2024-08-11,14
2024-08-18,15
2024-08-25,16
2024-09-01,12
2024-09-08,11
2024-09-15,10
2024-09-22,14
2024-09-29,12
2024-10-06,10
2024-10-13,16
2024-10-20,16
2024-10-27,27
2024-11-03,53
2024-11-10,100
